RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
wc-195.33.161.12 in,268442670,193471935,2022-09-11T05:11:07Z,2024-02-25T13:50:48Z
wc-195.33.161.12 out,268442671,193609521,2022-09-11T05:11:07Z,2024-02-25T13:50:48Z
wc-203.163.125.4 in,268442672,195906195,2022-09-11T05:11:07Z,2024-02-25T13:50:47Z
wc-203.163.125.4 out,268442673,197539309,2022-09-11T05:11:20Z,2024-02-25T13:50:48Z
wc-211.144.223.252 in,268442674,15008,2022-09-11T05:11:07Z,2024-02-21T17:34:02Z
wc-211.144.223.252 out,268442675,195505,2022-09-11T06:58:56Z,2024-02-25T13:50:41Z
wc-63.240.21.171 in,268442676,203260750,2022-09-11T05:11:07Z,2024-02-25T13:50:48Z
wc-63.240.21.171 out,268442677,336077076,2022-09-11T05:11:07Z,2024-02-25T13:50:48Z
wc-52.151.234.119 in,268442678,22535,2023-01-13T00:12:11Z,2024-02-01T21:28:11Z
wc-52.151.234.119 out,268442679,7001556,2022-09-11T05:12:02Z,2024-02-25T13:50:42Z
wc-198.52.89.254 in,268442680,73339602,2022-09-11T05:11:07Z,2024-02-25T13:50:43Z
wc-198.52.89.254 out,268442681,401223082,2022-09-11T05:11:07Z,2024-02-25T13:50:48Z
outside-in_#1,268442090,1855985,2022-09-11T03:39:11Z,2024-02-25T13:50:47Z
outside-in_#2,268442091,6309478261,2022-09-11T03:37:29Z,2024-02-25T13:50:49Z
outside-in_#3,268442092,0, , 
outside-in_#4,268442093,30657213,2022-09-11T03:39:43Z,2024-02-25T13:50:47Z
outside-in_#5,268442094,34995712,2022-09-11T03:39:00Z,2024-02-25T13:50:31Z
outside-in_#6,268442095,107,2023-01-09T15:40:00Z,2024-02-19T21:51:32Z
outside-in_#7,268442096,14199566,2022-09-11T03:47:10Z,2024-02-25T13:47:48Z
outside-in_#8,268442097,122607303,2022-09-11T03:37:34Z,2024-02-25T13:50:48Z
outside-in_#9,268442098,0, , 
outside-in_#10,268442099,6908491,2022-09-11T03:39:34Z,2024-02-25T13:50:44Z
Allow_ssh_access_from_7888_port,268442696,35,2023-06-28T19:20:04Z,2023-08-03T08:45:46Z
outside-in_#11,268442100,2642699,2022-09-11T03:37:45Z,2024-02-25T13:50:35Z
outside-in_#12,268442101,3304435,2022-09-11T03:40:43Z,2024-02-25T13:32:33Z
outside-in_#13,268442102,15026,2022-09-11T05:41:34Z,2024-02-25T13:32:39Z
outside-in_#14,268442103,0, , 
outside-in_#15,268442104,0, , 
outside-in_#16,268442105,0, , 
outside-in_#17,268442106,0, , 
outside-in_#18,268442107,0, , 
outside-in_#19,268442108,5051856,2022-09-11T03:42:44Z,2024-02-25T13:47:40Z
outside-in_#20,268442109,18387272,2022-09-11T03:37:31Z,2024-02-25T13:50:47Z
outside-in_#21,268442110,10135,2022-09-11T06:35:50Z,2024-02-24T12:25:02Z
outside-in_#22,268442111,26283,2022-09-11T08:30:47Z,2024-02-25T13:46:01Z
outside-in_#23,268442112,0, , 
DMZ1550_access_in_#1,268442114,941257,2022-09-11T03:37:51Z,2024-02-25T00:58:06Z
DMZ1550_access_in_#2,268442115,0, , 
DMZ1550_access_in_#3,268442116,572188969,2022-09-11T04:26:42Z,2024-02-25T13:50:48Z
DMZ1550_access_in_#4,268442117,0, , 
DMZ1550_access_in_#5,268442118,0, , 
DMZ1550_access_in_#6,268442119,0, , 
DMZ1550_access_in_#7,268442120,0, , 
DMZ1550_access_in_#8,268442121,0, , 
DMZ1550_access_in_#9,268442122,15691536,2022-09-11T03:40:38Z,2024-02-25T13:50:43Z
DMZ1550_access_in_#10,268442123,0, , 
DMZ1550_access_in_#11,268442124,0, , 
DMZ1550_access_in_#12,268442125,0, , 
DMZ1550_access_in_#13,268442126,0, , 
DMZ1550_access_in_#14,268442127,0, , 
DMZ1550_access_in_#15,268442128,0, , 
DMZ1550_access_in_#16,268442129,0, , 
DMZ1550_access_in_#17,268442130,0, , 
DMZ1550_access_in_#18,268442131,0, , 
DMZ1550_access_in_#19,268442132,0, , 
DMZ1550_access_in_#20,268442133,0, , 
DMZ1550_access_in_#21,268442134,0, , 
DMZ1550_access_in_#22,268442135,4602630,2022-09-10T09:38:57Z,2024-02-25T13:50:46Z
DMZ1550_access_in_#23,268442136,0, , 
DMZ1550_access_in_#24,268442137,0, , 
DMZ1550_access_in_#25,268442138,0, , 
DMZ1550_access_in_#26,268442139,0, , 
DMZ1550_access_in_#27,268442140,0, , 
